ZIP,City,State,CountyName,RentPrice,LAT,LNG
22193,Woodbridge,VA,Prince William County,2262.638888888889,38.644195,-77.352
22191,Woodbridge,VA,Prince William County,2259.848814331573,38.622914,-77.262938
20002,Washington,DC,District of Columbia,2479.333760120964,38.905026,-76.983607
20906,Silver Spring,MD,Montgomery County,2037.7742296918768,39.087321,-77.057159
20011,Washington,DC,District of Columbia,2377.8524236674143,38.952514,-77.022991
20878,Gaithersburg,MD,Montgomery County,2414.246255660049,39.112821,-77.250504
20019,Washington,DC,District of Columbia,2117.621212121212,38.891412,-76.943575
22407,Fredericksburg,VA,Spotsylvania County,1964.940404040404,38.283474,-77.575684
20874,Germantown,MD,Montgomery County,2096.061315496098,39.133056,-77.301828
20147,Ashburn,VA,Loudoun County,2479.460854700855,39.041947,-77.47813
22192,Woodbridge,VA,Prince William County,2268.5770275858,38.683699,-77.314673
22003,Annandale,VA,Fairfax County,2461.781196581196,38.829817,-77.215318
22554,Stafford,VA,Stafford County,2525.3809523809523,38.427352,-77.367672
22030,Fairfax,VA,Fairfax County,2473.9147297420473,38.837138,-77.340466
20744,Fort Washington,MD,Prince Georges County,1802.295238095238,38.758348,-76.983786
20020,Washington,DC,District of Columbia,1966.3030303030305,38.860413,-76.978933
22204,Arlington,VA,Arlington County,2287.650310559006,38.860791,-77.098972
20772,Upper Marlboro,MD,Prince Georges County,2874.4,38.780274,-76.76699
20902,Silver Spring,MD,Montgomery County,2303.997252747253,39.045249,-77.039264
20904,Silver Spring,MD,Montgomery County,2036.3952380952376,39.066616,-76.980935
20783,Langley Park,MD,Prince Georges County,1957.4166666666667,38.997067,-76.966783
20148,Ashburn,VA,Loudoun County,2961.5427380952383,38.996109,-77.520849
20009,Washington,DC,District of Columbia,2629.9585638699923,38.919144,-77.037381
20850,Rockville,MD,Montgomery County,2578.3727009322247,39.091338,-77.182294
20852,North Bethesda,MD,Montgomery County,2304.9530635106175,39.051991,-77.121931
20774,Upper Marlboro,MD,Prince Georges County,2094.251559454191,38.874532,-76.774182
20110,Manassas,VA,Manassas City,2117.25,38.747172,-77.484536
20171,Herndon,VA,Fairfax County,2347.721518463322,38.923848,-77.396501
22304,Alexandria,VA,Alexandria City,1969.336111111111,38.813169,-77.112139
20176,Leesburg,VA,Loudoun County,2300.0488095238093,39.184706,-77.544111
20854,Potomac,MD,Montgomery County,3867.071428571429,39.032772,-77.22083
20706,Lanham Seabrook,MD,Prince Georges County,2053.3611111111113,38.96588,-76.851092
20910,Silver Spring,MD,Montgomery County,2069.278306878307,39.002837,-77.036701
20001,Washington,DC,District of Columbia,2763.5407088122606,38.910353,-77.017739
22015,Burke,VA,Fairfax County,2905.3888888888887,38.787814,-77.278973
21702,Frederick,MD,Frederick County,1971.3391812865495,39.479136,-77.442989
20164,Sterling,VA,Loudoun County,2608.133333333333,39.013299,-77.395067
20785,Greater Landover,MD,Prince Georges County,2123.3167913397797,38.918291,-76.881948
20170,Herndon,VA,Fairfax County,2598.1190476190473,38.979842,-77.37975
20109,Manassas,VA,Prince William County,2112.788515406163,38.793641,-77.531024
20120,Centreville,VA,Fairfax County,2514.0148148148146,38.856401,-77.476371
20747,District Heights,MD,Prince Georges County,1569.321212121212,38.854996,-76.883307
20175,Leesburg,VA,Loudoun County,2433.2916666666665,39.064437,-77.603993
21701,Frederick,MD,Frederick County,2047.8876262626263,39.443557,-77.332934
20740,College Park,MD,Prince Georges County,2159.694444444444,39.002745,-76.931721
20748,Temple Hills,MD,Prince Georges County,1644.6666666666667,38.814868,-76.933447
21703,Frederick,MD,Frederick County,2343.560606060606,39.367031,-77.473482
20032,Washington,DC,District of Columbia,1473.1151515151516,38.833719,-77.006591
22201,Arlington,VA,Arlington County,2628.994715090337,38.886565,-77.095231
20817,Bethesda,MD,Montgomery County,3179.703703703704,38.997272,-77.151816
20743,Capitol Heights,MD,Prince Georges County,2018.4351851851852,38.88423,-76.893317
20877,Gaithersburg,MD,Montgomery County,2015.580808080808,39.140749,-77.19206
20901,Silver Spring,MD,Montgomery County,2365.2000000000003,39.021495,-77.009779
